tag,type,source,layer,x,y,z,height
111-M-PP-001/002,111,TEXT,TEXT,404.34,558.46,0.0,3.0
VC-0581,VC,TEXT,TEXT,504.59,398.33,0.0,2.3
VL-0603,VL,TEXT,TEXT,666.34,372.65,0.0,2.3
VL-0600,VL,TEXT,TEXT,652.54,396.69,0.0,2.3
VG-0583,VG,TEXT,TEXT,659.98,352.6,0.0,2.3
VG-0584,VG,TEXT,TEXT,659.86,321.94,0.0,2.3
VC-0582,VC,TEXT,TEXT,505.19,232.18,0.0,2.3
VL-0602,VL,TEXT,TEXT,661.23,267.17,0.0,2.3
VL-0605,VL,TEXT,TEXT,652.54,243.12,0.0,2.3
VL-0609,VL,TEXT,TEXT,413.94,186.19,0.0,2.3
VG-0586,VG,TEXT,TEXT,293.12,184.44,0.0,2.3
VL-0635,VL,TEXT,TEXT,296.26,174.58,0.0,2.3
VG-0585,VG,TEXT,TEXT,328.27,184.64,0.0,2.3
VL-0615,VL,TEXT,TEXT,136.63,188.53,0.0,2.3
VG-0588,VG,TEXT,TEXT,139.84,175.39,0.0,2.3
VG-0587,VG,TEXT,TEXT,169.01,175.39,0.0,2.3
VL-0614,VL,TEXT,TEXT,173.24,188.53,0.0,2.3
VG-0593,VG,TEXT,TEXT,247.47,343.89,0.0,2.3
VL-0634,VL,TEXT,TEXT,224.64,337.54,0.0,2.3
VL-0632,VL,TEXT,TEXT,232.06,314.89,0.0,2.3
VG-0594,VG,TEXT,TEXT,216.34,343.89,0.0,2.3
VL-0905,VL,TEXT,TEXT,412.16,129.13,0.0,2.3
VL-0613,VL,TEXT,TEXT,326.42,173.95,0.0,2.3
VL-0665,VL,TEXT,TEXT,311.25,151.0,0.0,2.3
VG-4307,VG,TEXT,TEXT,360.3,432.71,0.0,2.3
VC-4306,VC,TEXT,TEXT,372.77,440.48,0.0,2.3
VB-4301,VB,TEXT,TEXT,403.41,431.95,0.0,2.3
